,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_chip,Categoria,Genero
191,8193,7828,2975,01:35:25,01:20:40,Abierta,Masculino
192,8194,2230,1145,01:00:29,00:52:52,Abierta,Masculino
193,8195,7026,2808,01:27:07,01:26:53,Abierta,Masculino
194,8196,5027,2259,01:15:00,01:02:42,Abierta,Masculino
195,8197,694,80,00:49:58,00:47:26,Plus,Masculino
196,8198,1948,1012,00:58:45,00:57:44,Abierta,Masculino
197,8199,8200,2345,01:42:33,01:27:22,Abierta,Femenino
198,8200,4860,222,01:14:13,01:12:34,Master,Femenino
199,8201,6888,1716,01:26:05,01:18:11,Abierta,Femenino
200,8202,1876,975,00:58:19,00:55:44,Abierta,Masculino
201,8203,8278,2384,01:44:31,01:36:10,Abierta,Femenino
202,8204,7139,2828,01:28:02,01:19:41,Abierta,Masculino
203,8205,8332,2413,01:46:41,01:38:30,Abierta,Femenino
204,8206,1150,636,00:53:50,00:45:49,Abierta,Masculino
205,8207,3165,1560,01:05:33,00:57:32,Abierta,Masculino
206,8208,3864,573,01:09:08,01:07:51,Abierta,Femenino
207,8209,2300,1176,01:00:55,00:53:01,Abierta,Masculino
208,8210,3944,551,01:09:31,01:00:33,Plus,Masculino
209,8211,8134,3037,01:40:46,01:27:46,Abierta,Masculino
210,8212,5207,2310,01:15:59,01:05:02,Abierta,Masculino
211,8213,1941,284,00:58:42,00:54:59,Plus,Masculino
212,8214,7616,2065,01:32:48,01:19:53,Abierta,Femenino
