,Numero_compentencia,Posicion_general,Posicion_grupo,Tiempo_carrera,Tiempo_Chip,Categorial,Genero
527,590,6268,320,01:21:59,01:13:51,Master,Femenino
528,591,3675,511,01:08:15,01:05:46,Plus,Masculino
529,592,3940,674,01:09:29,01:03:03,Master,Masculino
530,593,5039,806,01:15:03,01:06:55,Master,Masculino
531,594,0,0,DNS,DNS,Abierta,Masculino
532,595,1438,203,00:55:49,00:55:05,Plus,Masculino
533,596,1788,154,00:57:54,00:57:49,Abierta,Femenino
534,597,144,80,00:42:07,00:42:03,Abierta,Masculino
535,598,257,3,00:44:36,00:44:32,Master,Femenino
536,599,1978,1030,00:58:55,00:58:19,Abierta,Masculino
537,600,3317,466,01:06:26,00:56:41,Plus,Masculino
538,601,2705,1377,01:03:04,00:54:29,Abierta,Masculino
539,602,1171,162,00:53:59,00:53:33,Plus,Masculino
540,603,6728,354,01:24:52,01:18:57,Master,Femenino
541,604,6818,824,01:25:28,01:10:48,Plus,Masculino
542,605,8323,267,01:46:06,01:31:51,Plus,Femenino
543,606,0,0,DNS,DNS,Abierta,Femenino
544,607,2185,324,01:00:16,00:56:50,Plus,Masculino
545,608,0,0,DNS,DNS,Plus,Masculino
546,609,8630,298,DNS,DNS,Plus,Femenino
547,610,2699,299,01:03:01,00:59:05,Abierta,Femenino
548,611,8360,273,01:47:44,01:47:44,Plus,Femenino
549,612,3167,443,01:05:34,01:05:30,Plus,Masculino
550,613,5183,982,01:15:51,01:14:57,Abierta,Femenino
551,614,8117,3033,01:40:22,01:34:44,Abierta,Masculino
552,615,2901,342,01:04:07,00:59:45,Abierta,Femenino
553,616,0,0,DNS,DNS,Master,Femenino
554,617,107,19,00:40:51,00:40:50,Master,Masculino
555,618,2296,1174,01:00:54,00:52:00,Abierta,Masculino
556,619,273,162,00:44:55,00:44:42,Abierta,Masculino
557,620,4541,753,01:12:42,01:00:07,Master,Masculino
558,621,8241,934,01:43:22,01:32:43,Plus,Masculino
559,622,3666,1771,01:08:12,01:02:25,Abierta,Masculino
560,623,7076,1817,01:27:31,01:19:23,Abierta,Femenino
561,624,5658,732,01:18:33,01:14:08,Plus,Masculino
562,625,1099,213,00:53:29,00:51:48,Master,Masculino
563,626,2903,41,01:04:07,01:03:22,Plus,Femenino
564,627,2758,387,01:03:21,01:00:16,Plus,Masculino
565,628,902,112,00:51:54,00:51:07,Plus,Masculino
566,629,0,0,DNS,DNS,Abierta,Masculino
567,630,5856,896,01:19:43,01:08:29,Master,Masculino
568,631,3968,607,01:09:41,01:05:25,Abierta,Femenino
569,632,0,0,DNS,DNS,Master,Femenino
570,633,7585,217,01:32:25,01:22:36,Plus,Femenino
571,634,254,44,00:44:32,00:44:31,Master,Masculino
572,635,1298,707,00:54:54,00:54:35,Abierta,Masculino
573,636,3985,680,01:09:46,00:57:09,Master,Masculino
574,637,402,80,00:46:56,00:46:30,Master,Masculino
575,638,7821,453,01:35:17,01:28:15,Master,Femenino
576,639,4011,1901,01:09:53,01:07:25,Abierta,Masculino
577,640,2477,357,01:01:52,01:01:42,Plus,Masculino
578,641,3581,52,01:07:46,00:56:26,Plus,Femenino
579,642,1355,189,00:55:19,00:55:09,Plus,Masculino
580,643,0,0,DNS,DNS,Master,Femenino
581,644,1557,35,00:56:35,00:55:48,Master,Femenino
582,645,3160,578,01:05:32,01:04:54,Master,Masculino
583,646,5694,1187,01:18:43,01:12:32,Abierta,Femenino
584,647,0,0,DNS,DNS,Abierta,Masculino
585,648,202,122,00:43:34,00:43:08,Abierta,Masculino
586,649,1541,218,00:56:26,00:50:51,Plus,Masculino
587,650,1588,840,00:56:48,00:54:13,Abierta,Masculino
588,651,4753,826,01:13:45,01:07:45,Abierta,Femenino
589,652,3125,1542,01:05:22,00:55:22,Abierta,Masculino
590,653,23,8,00:34:34,00:34:33,Abierta,Masculino
591,654,5167,817,01:15:45,01:04:02,Master,Masculino
592,655,5081,943,01:15:17,01:07:13,Abierta,Femenino
593,656,2512,1280,01:02:03,00:57:09,Abierta,Masculino
594,657,0,0,DNS,DNS,Plus,Masculino
595,658,2934,1470,01:04:15,00:55:25,Abierta,Masculino
596,659,0,0,DNS,DNS,Abierta,Masculino
597,660,6010,916,01:20:35,01:09:40,Master,Masculino
598,661,3113,401,01:05:17,01:00:47,Abierta,Femenino
599,662,2806,394,01:03:38,01:00:03,Plus,Masculino
600,663,8638,1119,DNS,DNS,Master,Masculino
601,664,7184,1866,01:28:29,01:17:15,Abierta,Femenino
602,665,0,0,DNS,DNS,Abierta,Femenino
603,666,5429,1077,01:17:16,01:06:52,Abierta,Femenino
